ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL178484,CHEMBL178484,OCCCNc1cnccc1-c1cncc(Nc2cccc(Cl)c2)n1,761.0,nM,6.12,CHEMBL829594,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178507,CHEMBL178507,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(Cl)c3)o2)c1,22.0,nM,7.66,CHEMBL829592,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178568,CHEMBL178568,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)c2cc1OC,5.6,nM,8.25,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178583,CHEMBL178583,Cc1ccc(Nc2ncnn3cc(C(=O)NCCCN4CCCC4)c(C)c23)cc1O,40.0,nM,7.4,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178596,CHEMBL178596,CCOC(=O)c1cn2ncnc(Nc3ccc(C)c(O)c3)c2c1OCC,64.0,nM,7.19,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178607,CHEMBL178607,Cc1ccc(Nc2ncnn3cc(NC(=O)OCCCN4CCCCC4)c(C(C)C)c23)cc1O,5.0,nM,8.3,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178743,CHEMBL178743,OCCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)n1,497.0,nM,6.3,CHEMBL829594,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178789,CHEMBL178789,COC(=O)c1cn2ncnc(Nc3ccc(C)c(O)c3)c2c1C,10.0,nM,8.0,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178899,CHEMBL178899,COC(=O)c1cn2ncnc(Nc3ccc(C(F)(F)F)c(O)c3)c2c1C,370.0,nM,6.43,CHEMBL830878,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL178981,CHEMBL178981,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4Cl)cc3)c2cc1OC,27.0,nM,7.57,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL179061,CHEMBL179061,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccccc4C)cc3)c2cc1OC,2.3,nM,8.64,CHEMBL876146,CHEMBL279,Vascular endothelial growth factor receptor 2
