ChEMBL_ID,name,SMILES,IC50_nM,IC50_units,pChEMBL,Assay_ID,target_chembl_id,target_name
CHEMBL100174,CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,151.0,nM,6.82,CHEMBL812621,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL100775,CHEMBL100775,Cc1cnc(Nc2ccccn2)s1,1274.0,nM,5.89,CHEMBL812621,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101221,CHEMBL101221,CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1,16.0,nM,7.8,CHEMBL819548,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101253,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,37.0,nM,7.43,CHEMBL819549,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101325,CHEMBL101325,CC(=O)Nc1oc(-c2cncc(-c3cccc(Cl)c3)c2)nc1-c1ccccc1,8320.0,nM,5.08,CHEMBL819548,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101461,CHEMBL101461,CC(=O)Nc1oc(-c2cncc(-c3ccccc3)c2)nc1-c1ccccc1,575.0,nM,6.24,CHEMBL819548,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101464,CHEMBL101464,Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,14.0,nM,7.85,CHEMBL812621,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101544,CHEMBL101544,N#Cc1cnc(Nc2ccccn2)s1,36.0,nM,7.44,CHEMBL812621,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101682,CHEMBL101682,O=C(Nc1ccccc1F)c1ccccc1NCc1ccc(F)cc1,3700.0,nM,5.43,CHEMBL819549,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101683,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,20.0,nM,7.7,CHEMBL819549,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL101924,CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,137.0,nM,6.86,CHEMBL812621,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL102301,CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,17300.0,nM,4.76,CHEMBL812622,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL103055,CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,1410.0,nM,5.85,CHEMBL819550,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL103595,CHEMBL103595,c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1,60.0,nM,7.22,CHEMBL819548,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL115480,CHEMBL115480,O=c1cc(-c2cnc3c(-c4ccccc4)cnn3c2)ccn1CCCN1CCCCC1,14.0,nM,7.85,CHEMBL818936,CHEMBL279,Vascular endothelial growth factor receptor 2
CHEMBL116324,CHEMBL116324,CN1CCN(CCCn2ccc(-c3cnc4c(-c5ccccc5)cnn4c3)cc2=O)CC1,13.0,nM,7.89,CHEMBL818936,CHEMBL279,Vascular endothelial growth factor receptor 2
