# cyclic_registry — FairMol export
# total: 2240  |  cyclic: 2000  |  true_heterocycles: 1992  |  functional_groups: 178  |  biological: 62
# smarts = universal (RDKit [#6]/[#7] notation, matches aromatic + Kekule)
# smarts_original = Kekule original
#
pattern_id	name	group	smarts	smarts_original	is_true_heterocycle	heterocycle_family	heterocycle_family_normalized	heterocycle_superclass	ring_count	ring_atom_count	hetero_ring_atom_count
cyclic_1_azabicyclo_1_1_0_butane	1-Azabicyclo[1.1.0]butane	cyclic	[#6]1-[#6]2-[#7]-1-[#6]-2	C1C2N1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	4	1
cyclic_1_azabicyclo_1_1_1_pentane	1-Azabicyclo[1.1.1]pentane	cyclic	[#6]1-[#6]2-[#6]-[#7]-1-[#6]-2	C1C2CN1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	5	1
cyclic_1_azabicyclo_2_1_0_pentane	1-Azabicyclo[2.1.0]pentane	cyclic	[#6]1-[#6]-[#7]2-[#6]-1-[#6]-2	C1CN2C1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	5	1
cyclic_1_azabicyclo_2_2_0_hexane	1-Azabicyclo[2.2.0]hexane	cyclic	[#6]1-[#6]-[#7]2-[#6]-1-[#6]-[#6]-2	C1CN2C1CC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_1_azabicyclo_2_2_1_heptane	1-Azabicyclo[2.2.1]heptane	cyclic	[#6]1-[#6]-[#7]2-[#6]-[#6]-[#6]-1-[#6]-2	C1CN2CCC1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_1_azabicyclo_3_1_0_hexane	1-Azabicyclo[3.1.0]hexane	cyclic	[#6]1-[#6]-[#6]2-[#6]-[#7]-2-[#6]-1	C1CC2CN2C1	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_2_azabicyclo_2_2_1_heptane	2-Azabicyclo(2.2.1)heptane	cyclic	[#6]1-[#6]-[#6]2-[#6]-[#6]-1-[#6]-[#7]-2	C1CC2CC1CN2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_2_azabicyclo_1_1_0_butane	2-Azabicyclo[1.1.0]butane	cyclic	[#6]1-[#6]2-[#6]-1-[#7]-2	C1C2C1N2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	4	1
cyclic_2_azabicyclo_1_1_1_pentane	2-Azabicyclo[1.1.1]pentane	cyclic	[#6]1-[#6]2-[#6]-[#6]-1-[#7]-2	C1C2CC1N2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	5	1
cyclic_2_azabicyclo_2_1_0_pentane	2-Azabicyclo[2.1.0]pentane	cyclic	[#6]1-[#6]2-[#6]-1-[#7]-[#6]-2	C1C2C1NC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	5	1
cyclic_2_azabicyclo_2_1_1_hexane	2-Azabicyclo[2.1.1]hexane	cyclic	[#6]1-[#6]2-[#6]-[#6]-1-[#7]-[#6]-2	C1C2CC1NC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_2_azabicyclo_2_2_0_hexane	2-Azabicyclo[2.2.0]hexane	cyclic	[#6]1-[#6]-[#6]2-[#6]-1-[#6]-[#7]-2	C1CC2C1CN2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_2_azabicyclo_3_1_0_hexane	2-Azabicyclo[3.1.0]hexane	cyclic	[#6]1-[#6]-[#7]-[#6]2-[#6]-1-[#6]-2	C1CNC2C1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_2_azabicyclo_3_1_1_heptane	2-Azabicyclo[3.1.1]heptane	cyclic	[#6]1-[#6]-[#7]-[#6]2-[#6]-[#6]-1-[#6]-2	C1CNC2CC1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_2_azabicyclo_3_2_0_heptadiene	2-Azabicyclo[3.2.0]heptadiene	cyclic	[#6]1-[#6]-[#6]2=[#7]-[#6]=[#6]-[#6]-1-2	C1CC2=NC=CC21	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_2_azabicyclo_4_1_0_heptane	2-Azabicyclo[4.1.0]heptane	cyclic	[#6]1-[#6]-[#6]2-[#6]-[#6]-2-[#7]-[#6]-1	C1CC2CC2NC1	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_3_azabicyclo_3_1_0_hexane	3-Azabicyclo(3.1.0)hexane	cyclic	[#6]1-[#6]2-[#6]-1-[#6]-[#7]-[#6]-2	C1C2C1CNC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_3_azabicyclo_3_1_1_heptane	3-Azabicyclo[3.1.1]heptane	cyclic	[#6]1-[#6]2-[#6]-[#6]-1-[#6]-[#7]-[#6]-2	C1C2CC1CNC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_3_azabicyclo_3_2_0_heptane	3-Azabicyclo[3.2.0]heptane	cyclic	[#6]1-[#6]-[#6]2-[#6]-1-[#6]-[#7]-[#6]-2	C1CC2C1CNC2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	7	1
cyclic_5_azabicyclo_2_1_0_pentane	5-Azabicyclo[2.1.0]pentane	cyclic	[#6]1-[#6]-[#6]2-[#6]-1-[#7]-2	C1CC2C1N2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	5	1
cyclic_6_azabicyclo_3_1_0_hexane	6-Azabicyclo[3.1.0]hexane	cyclic	[#6]1-[#6]-[#6]2-[#6](-[#6]-1)-[#7]-2	C1CC2C(C1)N2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_azabicyclo_3_1_0_hex_3_ene	Azabicyclo[3.1.0]hex-3-ene	cyclic	[#6]1-[#6]=[#6]-[#6]2-[#7]-1-[#6]-2	C1C=CC2N1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_azabicyclo_3_1_0_hexanone	Azabicyclo[3.1.0]hexanone	cyclic	[#6]1-[#6]-[#6](=[#8])-[#7]2-[#6]-1-[#6]-2	C1CC(=O)N2C1C2	True	azabicyclo-like	azabicyclo-like	heterocycle	2	6	1
cyclic_1_azaspiro_2_4_hept_4_ene	1-Azaspiro[2.4]hept-4-ene	cyclic	[#6]1-[#6]-[#6]2(-[#6]-[#7]-2)-[#6]=[#6]-1	C1CC2(CN2)C=C1	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_1_azaspiro_2_4_hept_5_ene	1-Azaspiro[2.4]hept-5-ene	cyclic	[#6]1-[#6]=[#6]-[#6]-[#6]-12-[#6]-[#7]-2	C1C=CCC12CN2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_1_azaspiro_2_4_heptan_5_one	1-Azaspiro[2.4]heptan-5-one	cyclic	[#6]1-[#6]-[#6]2(-[#6]-[#6]-1=[#8])-[#6]-[#7]-2	C1CC2(CC1=O)CN2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_1_azaspiro_3_3_heptan_2_one	1-Azaspiro[3.3]heptan-2-one	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1)-[#6]-[#6](=[#8])-[#7]-2	C1CC2(C1)CC(=O)N2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_1_azaspiro_3_3_heptane	1-Azaspiro[3.3]heptane	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1)-[#6]-[#6]-[#7]-2	C1CC2(C1)CCN2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_2_azaspiro_3_3_heptan_1_one	2-Azaspiro[3.3]heptan-1-one	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1)-[#6]-[#7]-[#6]-2=[#8]	C1CC2(C1)CNC2=O	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_2_azaspiro_3_3_heptan_5_one	2-Azaspiro[3.3]heptan-5-one	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1=[#8])-[#6]-[#7]-[#6]-2	C1CC2(C1=O)CNC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_2_azaspiro_3_3_heptan_6_one	2-Azaspiro[3.3]heptan-6-one	cyclic	[#6]1-[#6](=[#8])-[#6]-[#6]-12-[#6]-[#7]-[#6]-2	C1C(=O)CC12CNC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_2_azaspiro_3_3_heptane	2-Azaspiro[3.3]heptane	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1)-[#6]-[#7]-[#6]-2	C1CC2(C1)CNC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_4_azaspiro_2_3_hexan_5_one	4-Azaspiro[2.3]hexan-5-one	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6](=[#8])-[#7]-2	C1CC12CC(=O)N2	True	azaspiro-like	azaspiro-like	heterocycle	2	6	1
cyclic_4_azaspiro_2_3_hexane	4-Azaspiro[2.3]hexane	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6]-[#7]-2	C1CC12CCN2	True	azaspiro-like	azaspiro-like	heterocycle	2	6	1
cyclic_4_azaspiro_2_4_heptan_5_one	4-Azaspiro[2.4]heptan-5-one	cyclic	[#6]1-[#6]-[#6]2(-[#6]-[#6]-2)-[#7]-[#6]-1=[#8]	C1CC2(CC2)NC1=O	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_4_azaspiro_2_4_heptan_7_one	4-Azaspiro[2.4]heptan-7-one	cyclic	[#6]1-[#6]-[#7]-[#6]2(-[#6]-1=[#8])-[#6]-[#6]-2	C1CNC2(C1=O)CC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_4_azaspiro_2_4_heptane	4-Azaspiro[2.4]heptane	cyclic	[#6]1-[#6]-[#6]2(-[#6]-[#6]-2)-[#7]-[#6]-1	C1CC2(CC2)NC1	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_4_azaspiro_3_3_heptan_4_ium	4-Azaspiro[3.3]heptan-4-ium	cyclic	[#6]1-[#6]-[#7+]2(-[#6]-1)-[#6]-[#6]-[#6]-2	C1C[N+]2(C1)CCC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_5_azaspiro_2_3_hexan_4_one	5-Azaspiro[2.3]hexan-4-one	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#7]-[#6]-2=[#8]	C1CC12CNC2=O	True	azaspiro-like	azaspiro-like	heterocycle	2	6	1
cyclic_5_azaspiro_2_3_hexane	5-Azaspiro[2.3]hexane	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#7]-[#6]-2	C1CC12CNC2	True	azaspiro-like	azaspiro-like	heterocycle	2	6	1
cyclic_5_azaspiro_2_4_hept_4_ene	5-Azaspiro[2.4]hept-4-ene	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6]-[#7]=[#6]-2	C1CC12CCN=C2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_5_azaspiro_2_4_heptan_4_one	5-Azaspiro[2.4]heptan-4-one	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6]-[#7]-[#6]-2=[#8]	C1CC12CCNC2=O	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_5_azaspiro_2_4_heptan_6_one	5-Azaspiro[2.4]heptan-6-one	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6](=[#8])-[#7]-[#6]-2	C1CC12CC(=O)NC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
