compound_id,canonical_smiles,pActivity,MW,LogP,HBD,HBA,TPSA,RotB,crfp_2050,crfp_2088,split
CMPD_027,CCOc1ccccc1,5.511,416.1,3.123,0,2,51.29,2,0,1,external
CMPD_028,Cn1cnc2c1c(=O)n(C)c(=O)n2C,5.176,436.2,3.186,2,6,78.2,5,1,0,external
CMPD_029,c1ccncc1,4.947,438.37,3.365,2,3,61.97,4,0,0,external
CMPD_030,c1ccccc1,5.385,436.19,3.604,0,8,67.73,4,0,0,external
CMPD_031,CCOc1ccccc1,4.851,450.52,3.16,3,5,83.88,3,1,1,external
CMPD_032,Cn1cnc2c1c(=O)n(C)c(=O)n2C,4.945,474.82,3.545,2,2,55.46,6,0,1,external
CMPD_033,c1ccncc1,4.951,496.03,3.633,2,7,85.83,7,0,0,external
CMPD_034,c1ccccc1,5.599,493.45,3.765,2,5,76.11,1,1,0,external
CMPD_035,CCOc1ccccc1,5.889,502.21,4.016,0,2,180.0,1,0,0,external
CMPD_036,Cn1cnc2c1c(=O)n(C)c(=O)n2C,5.792,680.0,7.5,0,5,64.16,7,0,1,external
